fechas,hora,latitud,longitud
2018-08-08,15:40:00,37.9792,-25.7667
2018-08-08,16:44:00,38.7206,-28.6476
2018-08-08,16:35:00,38.7164,-28.6594
2018-08-08,11:45,38.37,-28.19
2018-08-08,15:45:00,38.7239,-28.6859
2018-08-08,11:51:00,38.0346,-25.8237
2018-08-08,15:28:00,38.7181,-28.692
2018-08-08,14:11:00,37.5915,-25.1618
2018-08-08,10:30:00,37.9444,-25.7119
2018-08-08,15:40:00,37.9792,-25.7667
2018-08-08,17:19:00,38.7072,-28.6298
2018-08-08,14:11:00,37.5915,-25.1618
2018-08-08,11:51:00,38.0346,-25.8237
2018-08-08,11:51:00,38.0346,-25.8237
2018-08-08,16:44:00,38.7206,-28.6476
2018-08-08,17:19:00,38.7072,-28.6298
2018-08-08,16:35:00,38.7164,-28.6594
2018-08-09,11:09:00,38.2512,-28.423
2018-08-09,11:05,37.6621,-25.24023333
2018-08-09,11:09:00,38.2512,-28.423
2018-08-09,10:05:00,37.9711,-25.7584
2018-08-09,11:35,38.37,-28.19
2018-08-09,10:54,37.66110833,-25.24584167
2018-08-09,10:27:00,37.6773,-25.2563
2018-08-09,10:30:00,38.2671,-28.4174
2018-08-09,15:50:00,37.9662,-25.6575
2018-08-09,11:07,37.66246667,-25.23866667
2018-08-09,15:50:00,37.9662,-25.6575
2018-08-09,11:24:23,38.240182,-28.41841
2018-08-09,11:13:55,38.247807,-28.420017
2018-08-10,15:41:00,38.734,-28.7431
2018-08-10,16:10:00,38.7313,-28.7599
2018-08-10,16:10:00,38.7313,-28.7599
2018-08-10,11:36:00,37.986,-25.5788
2018-08-10,11:46:00,37.9899,-25.578
2018-08-10,10:59:00,38.6818,-28.6515
2018-08-10,11:05:54,38.684063,-28.653757
2018-08-10,11:41:00,37.9888,-25.5767
2018-08-10,16:43:00,38.7282,-28.7787
2018-08-10,15:50:00,38.732,-28.7513
2018-08-10,10:11:00,38.2314,-28.0642
2018-08-10,11:33:00,37.9844,-25.5793
2018-08-10,11:47:00,37.9907,-25.5789
2018-08-10,15:10:00,37.6418,-25.1547
2018-08-10,11:12:16,38.690137,-28.654718
2018-08-10,11:46:00,37.9899,-25.578
2018-08-11,16:52:00,38.5207,-28.0663
2018-08-11,10:10:00,37.9402,-25.6527
2018-08-11,10:55:00,38.5445,-28.2696
