fechas,hora,latitud,longitud,thetao,so,uo,vo,zos,chl,o2,deptho
2013-05-21,09:18:00,37.6886,-25.4546,[18.867854855954647],[36.06677446514368],[-0.1818903163075447],[-0.01892147585749626],-0.21179845556616783,0.05996030196547508,236.6235809326172,699.5
2013-05-29,09:40:00,37.6743,-25.3044,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-05-29,09:40:00,37.6743,-25.3044,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-05-29,09:40:00,37.6743,-25.3044,[18.797540210187435],[36.062196688726544],[-0.17029328271746635],[-0.051881466060876846],-0.21271401084959507,0.06063241511583328,236.86915588378906,1302.5
2013-07-10,,37.48935,-28.6135,[22.561571091413498],[36.11865593120456],[0.10254219174385071],[-0.036011841148138046],-0.21454512141644955,0.08278156071901321,224.64613342285156,2000.1629638671875
2013-07-13,,37.35745,-26.72626667,[22.062044128775597],[36.09271519817412],[0.003662221133708954],[-0.04272591322660446],-0.18951994366943836,0.079149529337883,224.8804931640625,2581.430908203125
2014-05-02,,37.61591667,-25.82725,[18.249671928584576],[36.12933740951121],[-0.022583696991205215],[-0.008545182645320892],-0.19653920084238052,0.10997027903795242,242.91477966308594,583.4171142578125
2014-05-02,,37.61591667,-25.82725,[18.249671928584576],[36.12933740951121],[-0.022583696991205215],[-0.008545182645320892],-0.19653920084238052,0.10997027903795242,242.91477966308594,583.4171142578125
2014-05-02,10:38,37.58196667,-25.55621667,[18.164708398282528],[36.098818900063634],[-0.07995849475264549],[-0.006714072078466415],-0.19592883065342903,0.12250406295061111,243.5028076171875,1081.842041015625
2014-05-02,10:38,37.58196667,-25.55621667,[18.164708398282528],[36.098818900063634],[-0.07995849475264549],[-0.006714072078466415],-0.19592883065342903,0.12250406295061111,243.5028076171875,1081.842041015625
2014-05-25,,39.17235,-30.11741667,[19.86324656009674],[36.04541150853038],[0.009765923023223877],[-0.04211554303765297],-0.20050660707056522,0.0764329582452774,235.47462463378906,1407.6920166015625
2014-07-04,,38.74415,-26.13905,[21.78957487642765],[36.15985591895878],[0.09033478796482086],[0.08911404758691788],-0.20905178971588612,0.07014039903879166,226.84129333496094,2234.14306640625
2015-07-16,,16.49214,-22.98307,[24.788933984935284],[36.02862632833421],[-0.10742515325546265],[-0.03784295171499252],-0.12390514835715294,0.38121330738067627,224.3710174560547,1748.8089599609375
2015-08-13,,37.50883333,-25.0114,[24.100436411798],[36.05456706136465],[0.046388134360313416],[-0.019531846046447754],-0.1904354989528656,0.0931546688079834,216.29164123535156,1689.72802734375
2015-10-18,,22.81119,-18.91164,[23.907071135938168],[36.71987056732178],[-0.07202368229627609],[-0.1593066193163395],-0.06134220398962498,0.2947247624397278,218.03033447265625,3345.611083984375
2016-03-20,15:55:00,37.6005,-25.5036,[16.43980224430561],[36.06677446514368],[-0.14526810497045517],[-0.035401470959186554],-0.2063051238656044,0.09255783259868622,250.65716552734375,1199.43505859375
2016-03-20,15:55:00,37.6005,-25.5036,[16.43980224430561],[36.06677446514368],[-0.14526810497045517],[-0.035401470959186554],-0.2063051238656044,0.09255783259868622,250.65716552734375,1199.43505859375
2016-03-20,,37.60958333,-25.48819167,[16.43980224430561],[36.06677446514368],[-0.14526810497045517],[-0.035401470959186554],-0.2063051238656044,0.09255783259868622,250.65716552734375,1199.43505859375
2016-03-20,,37.60958333,-25.48819167,[16.43980224430561],[36.06677446514368],[-0.14526810497045517],[-0.035401470959186554],-0.2063051238656044,0.09255783259868622,250.65716552734375,1199.43505859375
2016-03-20,15:55:00,37.6005,-25.5036,[16.43980224430561],[36.06677446514368],[-0.14526810497045517],[-0.035401470959186554],-0.2063051238656044,0.09255783259868622,250.65716552734375,1199.43505859375
2016-03-26,15:50,37.61591667,-25.82725,[17.145146034657955],[36.23462626710534],[0.07019257172942162],[-0.17334513366222382],-0.1831110566854477,0.08365126699209213,250.2498321533203,583.4171142578125
2016-03-26,15:50,37.61591667,-25.82725,[17.145146034657955],[36.23462626710534],[0.07019257172942162],[-0.17334513366222382],-0.1831110566854477,0.08365126699209213,250.2498321533203,583.4171142578125
2016-03-30,17:30:00,37.6114,-25.7472,[16.563585318624973],[36.086611496284604],[0.021973326802253723],[-0.14465773478150368],-0.19348734989762306,0.08365126699209213,250.2498321533203,858.3184814453125
2016-03-30,17:30:00,37.6114,-25.7472,[16.563585318624973],[36.086611496284604],[0.021973326802253723],[-0.14465773478150368],-0.19348734989762306,0.08365126699209213,250.2498321533203,858.3184814453125
2016-03-30,17:30:00,37.6114,-25.7472,[16.563585318624973],[36.086611496284604],[0.021973326802253723],[-0.14465773478150368],-0.19348734989762306,0.08365126699209213,250.2498321533203,858.3184814453125
2016-03-30,17:30:00,37.6114,-25.7472,[16.563585318624973],[36.086611496284604],[0.021973326802253723],[-0.14465773478150368],-0.19348734989762306,0.08365126699209213,250.2498321533203,858.3184814453125
2016-04-24,,38.373062,-28.285751,[17.145146034657955],[36.03473003022373],[-0.2697836235165596],[-0.04577776417136192],-0.18494216725230217,0.10955461114645004,245.53868103027344,1659.0
2016-04-24,,38.37275,-28.282966,[17.145146034657955],[36.03473003022373],[-0.2697836235165596],[-0.04577776417136192],-0.18494216725230217,0.10955461114645004,245.53868103027344,1659.0
2016-04-24,,38.373266,-28.283032,[17.145146034657955],[36.03473003022373],[-0.2697836235165596],[-0.04577776417136192],-0.18494216725230217,0.10955461114645004,245.53868103027344,1659.0
2016-05-19,11:05:00,38.4236,-28.7407,[18.665700249373913],[36.025574477389455],[-0.12878810986876488],[0.07690664380788803],-0.17242957837879658,,,606.877197265625
2016-05-19,11:05:00,38.4236,-28.7407,[18.665700249373913],[36.025574477389455],[-0.12878810986876488],[0.07690664380788803],-0.17242957837879658,,,606.877197265625
2016-07-21,13:43:00,37.6197,-25.3268,[23.848475597798824],[36.16290776990354],[-0.05737479776144028],[-0.019531846046447754],-0.12512588873505592,0.10008521378040314,216.07716369628906,1481.93896484375
2016-07-21,13:43:00,37.6197,-25.3268,[23.848475597798824],[36.16290776990354],[-0.05737479776144028],[-0.019531846046447754],-0.12512588873505592,0.10008521378040314,216.07716369628906,1481.93896484375
2016-07-21,13:43:00,37.6197,-25.3268,[23.848475597798824],[36.16290776990354],[-0.05737479776144028],[-0.019531846046447754],-0.12512588873505592,0.10008521378040314,216.07716369628906,1481.93896484375
2016-07-21,15:16,37.58846667,-25.2412,[23.939298681914806],[36.170537397265434],[-0.04699850454926491],[-0.02685628831386566],-0.1263466291129589,0.10008521378040314,216.07716369628906,1588.863037109375
2016-07-21,13:43:00,37.6197,-25.3268,[23.848475597798824],[36.16290776990354],[-0.05737479776144028],[-0.019531846046447754],-0.12512588873505592,0.10008521378040314,216.07716369628906,1481.93896484375
2016-10-27,,23.65104,-17.38204,[21.533951841294765],[36.1873225774616],[0.011597033590078354],[0.07507553324103355],-0.10467848740518093,0.7484118342399597,229.29217529296875,1404.822998046875
2016-11-27,,24.57326,-16.93985,[20.57005523890257],[36.44978175871074],[-0.1501510664820671],[-0.006103701889514923],-0.1071199681609869,0.45028433203697205,230.3040771484375,1803.866943359375
2016-12-02,,25.67867,-16.89311,[21.539078950881958],[36.69240390881896],[-0.05066072568297386],[0.05310220643877983],-0.06500442512333393,0.12136682122945786,228.52110290527344,3242.87109375
2017-04-08,10:49,37.68433333,-25.68606667,[17.15906247496605],[36.182744801044464],[-0.07202368229627609],[0.007324442267417908],-0.23712881840765476,0.0583101361989975,245.75167846679688,603.1522216796875
2017-04-08,10:25,37.68339167,-25.67376667,[17.15906247496605],[36.182744801044464],[-0.07202368229627609],[0.007324442267417908],-0.23712881840765476,0.0583101361989975,245.75167846679688,603.1522216796875
2017-04-08,10:25:00,37.678,-25.6678,[17.15906247496605],[36.182744801044464],[-0.07202368229627609],[0.007324442267417908],-0.23712881840765476,0.0583101361989975,245.75167846679688,603.1522216796875
